Org.ID,Organization.Name,Umbrella,Subgroup,Type,Category,Alternate.Names,Umbrella.Name
ORG00120,Bar Association Puck,BAPuck,,Legal Office,Organization,Zespole Adwokackim w Pucku,Bar Association Puck
ORG00121,Bulgarian Academy of Sciences,BAS,,International Professional Association,Organization,NA,Bulgarian Academy of Sciences
ORG00122,"""Baza""",BAZA,,Periodical,Organization,NA,"""Baza"""
ORG00123,Bielsko-Biały High School for Workers,BBHSW,,High School,Organization,NA,Bielsko-Biały High School for Workers
ORG00124,Bielsko-Biała Municipal House of Culture,BBMHC,,Government Agency Regional or Local,Organization,NA,Bielsko-Biała Municipal House of Culture
ORG00125,Bishops Committee for the Needy Kielce,BCNK,,Charitable or Humanitarian Organization,Organization,NA,Bishops Committee for the Needy Kielce
ORG00126,Bureau of Construction Projects Gdańsk Shipyards,BCPG,,Government Agency Regional or Local,Organization,NA,Bureau of Construction Projects Gdańsk Shipyards
ORG00127,Belarus Polytechnic,BelaPOLY,,Postsecondary School,Organization,NA,Belarus Polytechnic
ORG00128,Białogard Electrical-Mechanical Technical School,BEMT,,Postsecondary School,Organization,NA,Białogard Electrical-Mechanical Technical School
ORG00129,Bicycle Factory Premot Romet Bydgoszcz,BFPR,,Factory,Organization,NA,Bicycle Factory Premot Romet Bydgoszcz
ORG00130,Bialski Factory of Technical Divices,BFTD,,Factory,Organization,NA,Bialski Factory of Technical Divices
ORG00131,National Holding Bank,BGK,,Government Agency National,Organization,NA,National Holding Bank
ORG00132,"""Biblioteki Historycznej i Literackiej""",BHIL,,Periodical,Organization,NA,"""Biblioteki Historycznej i Literackiej"""
ORG00133,Bolesław High School for Adults Sopot,BHSA,,High School,Organization,NA,Bolesław High School for Adults Sopot
ORG00134,BIPROMET Project Office,BIPRO,,Factory,Organization,NA,BIPROMET Project Office
ORG00135,"""Bis""",BIS,,Periodical,Organization,NA,"""Bis"""
ORG00136,"""Biuletyn Informacyjny"" KOR",BKOR,,Periodical,Organization,NA,"""Biuletyn Informacyjny"" KOR"
ORG00137,"""Biuletynu"" KOS",BKOS,,Periodical,Organization,NA,"""Biuletynu"" KOS"
ORG00138,Bishop of Katowices Social Council,BKSC,,Charitable or Humanitarian Organization,Organization,NA,Bishop of Katowices Social Council
ORG00139,"""Biuletyn Informacyjny"" KSS-KOR",BKSS,,Periodical,Organization,NA,"""Biuletyn Informacyjny"" KSS-KOR"
ORG00140,Bureau of Light Industry Design,BLID,,Government Leadership Body National,Organization,NA,Bureau of Light Industry Design
ORG00141,"""Biuletyn Małopolska""",BM,,Periodical,Organization,"""Biuletyn Malopolska"" ; ""Przeglad Powszechny""","""Biuletyn Małopolska"""
ORG00142,International Investment Bank Council,BMI,Rad,Government Leadership Body National,Organization,NA,International Investment Bank Council
ORG00143,"""Biuletyn Informacyjny"" NZS",BNZS,,Periodical,Organization,NA,"""Biuletyn Informacyjny"" NZS"
ORG00144,Basic Objectives of the Polish Opposition Signatory,BOPO,,Protest Statement,Event,NA,Basic Objectives of the Polish Opposition Signatory
ORG00145,Brotherhood of the Oblates of St. Bridget,BOSB,,Charitable or Humanitarian Organization,Organization,NA,Brotherhood of the Oblates of St. Bridget
ORG00146,Office of Communal Construction Projects Sandomierz,BPBKSand,,Government Agency Regional or Local,Organization,NA,Office of Communal Construction Projects Sandomierz
ORG00147,Bureau for the Project of Building Nowa Huta,BPBNH,,Government Agency Regional or Local,Organization,NA,Bureau for the Project of Building Nowa Huta
ORG00148,Office of Typical Projects and Urban Building Studies Warsaw,BPTiSBM,War,Factory,Organization,NA,Office of Typical Projects and Urban Building Studies Warsaw
ORG00149,Commerical Affairs Office Embassy Belgrade,BRH,EmbBel,Factory,Organization,NA,Commerical Affairs Office Embassy Belgrade
ORG00150,Commerical Affairs Office Embassy Budapest,BRH,EmbBud,Factory,Organization,NA,Commerical Affairs Office Embassy Belgrade
ORG00151,"""Bratniak""",BRK,,Periodical,Organization,NA,"""Bratniak"""
ORG00152,"""Biuletynu Informacyjnego NSZZ «Solidarność» Akademii Medycznej i Państwowego Szpitala Klinicznego""",BSAM,,Periodical,Organization,"""Biuletynu Informacyjnego NSZZ «Solidarnosc» Akademii Medycznej i Panstwowego Szpitala Klinicznego""","""Biuletynu Informacyjnego NSZZ «Solidarność» Akademii Medycznej i Państwowego Szpitala Klinicznego"""
ORG00153,"""Biuletynu Informacyjnego «Solidarność Wiejska»""",BSM,,Periodical,Organization,"""Biuletynu Informacyjnego «Solidarnosc Wiejska»""","""Biuletynu Informacyjnego «Solidarność Wiejska»"""
ORG00154,"""Biuletynie Stoczni Północnej""",BSP,,Periodical,Organization,"""Biuletynie Stoczni Pólnocnej""","""Biuletynie Stoczni Północnej"""
ORG00155,"""Biuletynu Informacyjnego Solidarności UW""",BSUW,,Periodical,Organization,"""Biuletynu Informacyjnego Solidarnosci UW""","""Biuletynu Informacyjnego Solidarności UW"""
ORG00156,Bydgoszcz Teachers College,BTC,,Postsecondary School,Organization,NA,Bydgoszcz Teachers College
ORG00157,Bureau of Transport Design,BTD,,Government Leadership Body National,Organization,NA,Bureau of Transport Design
ORG00158,"""Biuletynu"" TKZ Stoczni Gdańskiej im. Lenina",BTKZ,,Periodical,Organization,"""Biuletynu"" TKZ Stoczni Gdanskiej im. Lenina","""Biuletynu"" TKZ Stoczni Gdańskiej im. Lenina"
ORG00159,Basic Vocational School Tczew,BVSTc,,Postsecondary School,Organization,NA,Basic Vocational School Tczew
ORG00160,"""Biuletynie Wojennym""",BW,,Periodical,Organization,NA,"""Biuletynie Wojennym"""
ORG00161,Bydgoszcz Voivode,ByWoj,,Government Leadership Body Regional or Local,Organization,NA,Bydgoszcz Voivode
ORG00162,Wałbrzych Cultural Association,CA,Walb,PRL NGO,Organization,NA,Wałbrzych Cultural Association
ORG00163,Committee to Aid Arrestees,CAA,,Charitable or Humanitarian Organization,Organization,NA,Committee to Aid Arrestees
ORG00164,Caritas Academica Warsaw,CAW,,Charitable or Humanitarian Organization,Organization,NA,Caritas Academica Warsaw
ORG00165,Central Investment Bank,CBI,,Government Agency National,Organization,NA,Central Investment Bank
ORG00166,Main Agricultural Library Warsaw,CBRWar,,Research Institute,Organization,NA,Main Agricultural Library Warsaw
ORG00167,Church Committee for Agriculture,CCA,,Charitable or Humanitarian Organization,Organization,NA,Church Committee for Agriculture
ORG00168,Citizens Committee Against Violence,CCAV,,Independent Society,Organization,NA,Citizens Committee Against Violence
ORG00169,Club of the Crooked Circle,CCC,,Salon,Organization,NA,Club of the Crooked Circle
ORG00170,City Construction Conglomerate Unit Warsaw,CCCUW,,Government Agency Regional or Local,Organization,NA,City Construction Conglomerate Unit Warsaw
ORG00171,Commune Cooperative Dorohusk,CCD,,Factory,Organization,NA,Commune Cooperative Dorohusk
ORG00172,Center for Cooperative Housing Construction Associations Warsaw,CCHCW,,Government Agency Regional or Local,Organization,NA,Center for Cooperative Housing Construction Associations Warsaw
ORG00173,Coordinating Committee for Health Services Małopolska,CCHSM,,Government Agency Regional or Local,Organization,NA,Coordinating Committee for Health Services Małopolska
ORG00174,Coordinating Committee for Health Services Solidarność,CCHSS,,Opposition Group Leadership Body Regional or Local,Organization,NA,Coordinating Committee for Health Services Solidarność
ORG00175,County Court Mysliborz,CCJ1,Mys,Legal Office,Organization,NA,County Court Mysliborz
ORG00176,County Court Pruszkow,CCJ2,Prusz,Legal Office,Organization,NA,County Court Pruszkow
ORG00177,Center for Civic Legislative Initiatives on Solidarity,CCLIS,,Independent Society,Organization,Center for Civil Legislative Issues Solidarność,Center for Civic Legislative Initiatives on Solidarity
ORG00178,Cultural Committee for the Mazowia Region,CCMR,,Independent Society,Organization,Cultural Committee for the Mazowsze Region,Cultural Committee for the Mazowia Region
ORG00179,Capital City Planning Commission,CCPC,,Government Leadership Body Regional or Local,Organization,Stołecznej Komisji Planowania,Capital City Planning Commission
ORG00180,Church Council of Rural Water Supply,CCRWS,,Charitable or Humanitarian Organization,Organization,NA,Church Council of Rural Water Supply
ORG00181,Club for Contradiction Seekers,CCS,,Salon,Organization,NA,Club for Contradiction Seekers
ORG00182,"Commune Cooperative ""Samopomoc Chłopska"" in Pleśna",CCSCP,,Factory,Organization,NA,"Commune Cooperative ""Samopomoc Chłopska"" in Pleśna"
ORG00183,Creative Communities at St. Mikołaj Church Gdańsk,CCSMG,,Charitable or Humanitarian Organization,Organization,NA,Creative Communities at St. Mikołaj Church Gdańsk
ORG00184,Charitable Commission of St. Brigitte Church Gdańsk,CCSTG,,Charitable or Humanitarian Organization,Organization,NA,Charitable Commission of St. Brigitte Church Gdańsk
ORG00185,County Court Lębork,CCT,LBK,Legal Office,Organization,NA,County Court Lębork
ORG00186,Christian Culture Weeks,CCW,,Charitable or Humanitarian Organization,Organization,NA,Christian Culture Weeks
ORG00187,Christian Culture Weeks Lubin,CCWL,,Charitable or Humanitarian Organization,Organization,NA,Christian Culture Weeks Lubin
ORG00188,Conference of Deans Illegal Meetings,CDIM,,Opposition Group Leadership Body National,Organization,NA,Conference of Deans Illegal Meetings
ORG00189,"""CDN""",CDN1,,Periodical,Organization,NA,"""CDN"""
ORG00190,CDN Publishing House,CDN2,,Publishing House,Organization,NA,CDN Publishing House
ORG00191,"""CDN. Gazeta Wolnych Ludzi. Region Świętokrzyski""",CDNG,,Periodical,Organization,"""CDN. Gazeta Wolnych Ludzi. Region Swietokrzyski""","""CDN. Gazeta Wolnych Ludzi. Region Świętokrzyski"""
ORG00192,Christian Democratic Political Thought Club in Warsaw,CDPTC,,Salon,Organization,NA,Christian Democratic Political Thought Club in Warsaw
ORG00193,Center for Documentation and the Study of Society,CDSS,,Government Agency Regional or Local,Organization,NA,Center for Documentation and the Study of Society
ORG00194,"Central Press Distribution ""Ruch""",CDWRuch,,Publishing House,Organization,National Clinical Hospital No. 1 in Lublin,"Central Press Distribution ""Ruch"""
ORG00195,Communication Equipment Factory Okęcie,CEFO,,Factory,Organization,NA,Communication Equipment Factory Okęcie
ORG00196,Club for Economic Initiatives,CEI,,Salon,Organization,NA,Club for Economic Initiatives
ORG00197,Center for Teacher Education Białystock,CENBia,,Postsecondary School,Organization,NA,Center for Teacher Education Białystock
ORG00198,"Consulting Engineers Bureau ""Hydroprojekt""",CEPH,,Factory,Organization,NA,"Consulting Engineers Bureau ""Hydroprojekt"""
ORG00199,Center for Environmental Research and Testing in Poznań,CERT,,Research Institute,Organization,NA,Center for Environmental Research and Testing in Poznań
ORG00200,Council for Families,CfF,,PRL NGO,Organization,NA,Council for Families
ORG00201,Council of the Fund for Scholarship Assistance,CFSA,,Independent Society,Organization,NA,Council of the Fund for Scholarship Assistance
ORG00202,Coastal Free Trade Unions,CFTU,,Opposition Group,Organization,NA,Coastal Free Trade Unions
ORG00203,Coastal Free Trade Unions Factory Council Elmore,CFTU,FCE,Opposition Group Leadership Body Regional or Local,Organization,NA,Coastal Free Trade Unions
ORG00204,Ciechanów Guild of Various Crafts,CGVC,,Factory,Organization,NA,Ciechanów Guild of Various Crafts
ORG00205,City Hospital Gliwice,CHG,,Medical Facility,Organization,NA,City Hospital Gliwice
ORG00206,Chelm Construction Enterprise,ChPrBud,,Factory,Organization,NA,Chelm Construction Enterprise
ORG00207,Christian Social Association,ChSS,,Political Party,Mass Organization,NA,Christian Social Association
ORG00208,Christian Social Association Main Board,ChSS,GZ,Political Party Leadership Body National,Organization,NA,Christian Social Association
ORG00209,"CHZB ""Budimex""",CHZBBud,,Factory,Organization,NA,"CHZB ""Budimex"""
ORG00210,"Foreign Trade Center ""Ciech""",CHZCiech,,Factory,Organization,NA,"Foreign Trade Center ""Ciech"""
ORG00211,Committee of International Critics of Architecture,CICA,,International Professional Association,Organization,NA,Committee of International Critics of Architecture
ORG00212,Citizens Initiative Group,CIG,,Independent Society,Organization,NA,Citizens Initiative Group
ORG00213,International Council on Large Electric Systems,CIGRE,,International Professional Association,Organization,NA,International Council on Large Electric Systems
ORG00214,Committee for Independent Culture,CINC,,Independent Society,Organization,NA,Committee for Independent Culture
ORG00215,Central Mining Institute,CInstGor,,Research Institute,Organization,Medical Academy Poznan Vice Rector for Teaching and Education,Central Mining Institute
ORG00216,Consortium of Independent Publishers,CIP,,Publishing House,Organization,NA,Consortium of Independent Publishers
ORG00217,International Academy for Production Engineering (CIRP),CIRP,,International Professional Association,Organization,NA,International Academy for Production Engineering (CIRP)
ORG00218,Italian Trade Union CISL contact,CISL,,International Organization,Organization,NA,Italian Trade Union CISL contact
ORG00219,Citizens Committee,CITCOM,,Opposition Group Leadership Body National,Organization,Citizen's Committee ; Citizens committee,Citizens Committee
ORG00220,Coast Labor Council,CLC,,Opposition Group Leadership Body Regional or Local,Organization,NA,Coast Labor Council
ORG00221,Central Laboratory for Glass Industry Szczakowy,CLPS,Szcz,Factory,Organization,NA,Central Laboratory for Glass Industry Szczakowy
ORG00222,Council of Ministers,CM,,Government Leadership Body National,Organization,Rada Ministrów ; The Council of Ministers ; Concil of Ministers,Council of Ministers
ORG00223,Council of Ministers Office of Legal Affairs,CM,BP,Government Leadership Body National,Organization,NA,Council of Ministers
ORG00224,Council of Ministers Office of Presidiums of the Council of Ministers,CM,BPRN,Government Leadership Body National,Organization,NA,Council of Ministers
ORG00225,Council of Ministers Central Qualification Committee for academic staff,CM,CKKdsKN,Government Leadership Body National,Organization,NA,Council of Ministers
